StepSizeSmall,StepSizeLarge,StepSizeRange,TimePerFrame (ms),FramesPerSecond,ImageFile,SSIM
0.21,0.25,0.1,29.11,34.352456,0161.png,0.999081
0.21,0.25,0.15,29.25,34.188034,0162.png,0.999009
0.21,0.25,0.2,29.39,34.025179,0163.png,0.999032
0.21,0.25,0.25,29.62,33.760972,0164.png,0.999001
0.21,0.5,0.05,15.29,65.402224,0165.png,0.999013
0.21,0.5,0.1,15.36,65.104167,0166.png,0.999142
0.21,0.5,0.15,16.28,61.425061,0167.png,0.999023
0.21,0.5,0.2,17.3,57.803468,0168.png,0.99909
0.21,0.5,0.25,19.09,52.383447,0169.png,0.999026
0.21,0.75,0.05,10.62,94.161959,0170.png,0.999052
0.21,0.75,0.1,11.08,90.252708,0171.png,0.999117
0.21,0.75,0.15,12.53,79.80846,0172.png,0.999024
0.21,0.75,0.2,13.74,72.780204,0173.png,0.999207
0.21,0.75,0.25,15.7,63.694268,0174.png,0.999074
0.21,1.0,0.05,8.25,121.212121,0175.png,0.999108
0.21,1.0,0.1,8.32,120.192308,0176.png,0.999113
0.21,1.0,0.15,10.18,98.231827,0177.png,0.999045
0.21,1.0,0.2,11.4,87.719298,0178.png,0.999123
0.21,1.0,0.25,13.8,72.463768,0179.png,0.999082
0.21,1.25,0.05,6.81,146.842878,0180.png,0.998882
0.21,1.25,0.1,6.93,144.300144,0181.png,0.999113
0.21,1.25,0.15,8.2,121.95122,0182.png,0.999047
0.21,1.25,0.2,10.16,98.425197,0183.png,0.999056
0.21,1.25,0.25,12.43,80.450523,0184.png,0.999075
0.21,1.5,0.05,5.53,180.831826,0185.png,0.998555
0.21,1.5,0.1,6.03,165.837479,0186.png,0.999082
0.21,1.5,0.15,7.23,138.312586,0187.png,0.999005
0.21,1.5,0.2,8.47,118.063754,0188.png,0.999067
0.21,1.5,0.25,11.15,89.686099,0189.png,0.99905
0.21,1.75,0.05,5.8,172.413793,0190.png,0.998008
0.21,1.75,0.1,5.36,186.567164,0191.png,0.998914
0.21,1.75,0.15,6.54,152.905199,0192.png,0.999049
0.21,1.75,0.2,7.74,129.198966,0193.png,0.999
0.21,1.75,0.25,10.02,99.800399,0194.png,0.99907
0.21,2.0,0.05,5.17,193.423598,0195.png,0.996945
0.21,2.0,0.1,4.88,204.918033,0196.png,0.99858
0.21,2.0,0.15,6.04,165.562914,0197.png,0.998948
0.21,2.0,0.2,8.16,122.54902,0198.png,0.999063
0.21,2.0,0.25,9.15,109.289617,0199.png,0.999046
